Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
W8.888,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Sun, 4th Jul 2021",,,
W8.925,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Sun, 15th May 2022",,,
W8.928,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Mon, 13th May 2019",,,
W8.946,Yarra Trams,Southbank,MMTB Green and Cream,In Service,41334,,,
W8.957,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Thu, 10th Sep 2015",,,
W8.959,Yarra Trams,Southbank,MMTB Green and Cream,In Service,41487,,,
W8.961,Yarra Trams,Southbank,MMTB Green and Cream,Stored,"Fri, 8th Mar 2019",Entered service for a small number of days before being stored,,
W8.981,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Fri, 21st Jul 2017",,,
W8.983,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Sat, 14th Oct 2017",,,
W8.1000,Yarra Trams,Southbank,MMTB Green and Cream,Stored,"Tue, 1st Mar 2022",,,
W8.1010,Yarra Trams,Southbank,MMTB Green and Cream,In Service,"Tue, 12th Apr 2016",Rebuilt at Bendigo Tramways workshop from W7.1010,,
E2.6051,Yarra Trams,Southbank,PTV,In Service,"Tue, 13th Jun 2017",,,
E2.6052,Yarra Trams,Southbank,PTV,In Service,"Mon, 5th Jun 2017",,,
E2.6053,Yarra Trams,Southbank,PTV,In Service,"Fri, 14th Jul 2017",,,
E2.6054,Yarra Trams,Southbank,,In Service,"Wed, 2nd Aug 2017",,,
E2.6055,Yarra Trams,Southbank,,In Service,"Fri, 11th Aug 2017",,,
E2.6056,Yarra Trams,Preston,PTV,In Service,"Mon, 4th Sep 2017",Dogcat: has an E1 class drivers can at one end,,
E2.6057,Yarra Trams,Southbank,PTV,In Service,"Tue, 24th Oct 2017",,,
E2.6058,Yarra Trams,Preston,PTV,In Service,"Mon, 6th Nov 2017",,,
E2.6059,Yarra Trams,Southbank,,In Service,"Mon, 27th Nov 2017",,,
E2.6060,Yarra Trams,Preston,,In Service,"Mon, 1st Jan 2018",,,
E2.6061,Yarra Trams,Southbank,,In Service,"Tue, 30th Jan 2018",,,
E2.6062,Yarra Trams,Preston,PTV,In Service,"Fri, 16th Mar 2018",,,
E2.6063,Yarra Trams,Southbank,,In Service,"Tue, 24th Apr 2018",,,
E2.6064,Yarra Trams,Preston,,In Service,"Mon, 7th May 2018",,,
E2.6065,Yarra Trams,Southbank,,In Service,"Mon, 18th Jun 2018",,,
E2.6066,Yarra Trams,Preston,PTV,In Service,"Tue, 3rd Jul 2018",,,
E2.6067,Yarra Trams,Southbank,,In Service,"Tue, 7th Aug 2018",,,
E2.6068,Yarra Trams,Preston,PTV,In Service,"Fri, 24th Aug 2018",,,
E2.6069,Yarra Trams,Preston,PTV,In Service,"Sat, 15th Sep 2018",,,
E2.6070,Yarra Trams,Preston,PTV,In Service,"Wed, 10th Oct 2018",,,
E2.6071,Yarra Trams,Southbank,PTV,In Service,"Tue, 20th Nov 2018",,,
E2.6072,Yarra Trams,Preston,PTV,In Service,"Mon, 17th Dec 2018",,,
E2.6073,Yarra Trams,Southbank,PTV,In Service,"Mon, 21st Jan 2019",,,
E2.6074,Yarra Trams,Preston,PTV,In Service,"Fri, 1st Mar 2019",,,
E2.6075,Yarra Trams,Preston,PTV,In Service,"Sun, 14th Apr 2019",,,
E2.6076,Yarra Trams,Preston,PTV,In Service,"Wed, 1st May 2019",,,
E2.6077,Yarra Trams,Southbank,PTV,In Service,"Tue, 21st May 2019",,,
E2.6078,Yarra Trams,Preston,PTV,In Service,"Sat, 3rd Aug 2019",,,
E2.6079,Yarra Trams,Preston,PTV,In Service,"Thu, 18th Jul 2019",,,
E2.6080,Yarra Trams,Preston,PTV,In Service,"Wed, 9th Oct 2019",,,
E2.6081,Yarra Trams,Preston,PTV,In Service,"Fri, 8th Nov 2019",,,
E2.6082,Yarra Trams,Preston,PTV,In Service,"Mon, 16th Dec 2019",,,
E2.6083,Yarra Trams,Southbank,PTV,In Service,"Sat, 28th Dec 2019",,,
E2.6084,Yarra Trams,Preston,PTV,In Service,"Fri, 31st Jan 2020",,,
E2.6085,Yarra Trams,Southbank,,In Service,"Mon, 24th Feb 2020",,,
E2.6086,Yarra Trams,Preston,PTV,In Service,"Wed, 8th Jul 2020",,,
E2.6087,Yarra Trams,Southbank,,In Service,"Tue, 18th Aug 2020",,,
E2.6088,Yarra Trams,Preston,PTV,In Service,"Mon, 14th Sep 2020",,,
E2.6089,Yarra Trams,Southbank,,In Service,"Tue, 29th Sep 2020",,,
E2.6090,Yarra Trams,Preston,PTV,In Service,"Mon, 2nd Nov 2020",,,
E2.6091,Yarra Trams,Southbank,,In Service,"Tue, 22nd Dec 2020",,,
E2.6092,Yarra Trams,Preston,PTV,In Service,"Mon, 1st Feb 2021",,,
E2.6093,Yarra Trams,Southbank,,In Service,"Fri, 26th Feb 2021",,,
E2.6094,Yarra Trams,Preston,PTV,In Service,"Fri, 12th Mar 2021",,,
E2.6095,Yarra Trams,Southbank,,In Service,"Fri, 30th Apr 2021",,,
E2.6096,Yarra Trams,Southbank,,In Service,"Tue, 25th May 2021",,,
E2.6097,Yarra Trams,Southbank,,In Service,"Fri, 25th Jun 2021",,,
E2.6098,Yarra Trams,Southbank,,In Service,"Sat, 31st Jul 2021",,,
E2.6099,Yarra Trams,Southbank,PTV,In Service,"Mon, 23rd Aug 2021",,,
E2.6100,Yarra Trams,Southbank,PTV,In Service,"Fri, 1st Oct 2021",,,
